Date,Open,High,Low,Close,Volume
2020-10-07,508.289,519.007,505.815,516.805,5635653.4820227
2020-10-08,527.796,535.765,526.97,528.896,8101886.5481418
2020-10-09,531.371,540.71,530.545,539.334,6800343.3291652
2020-10-12,543.456,544.006,528.343,533.016,5191976.5942362
2020-10-13,534.392,534.392,526.151,531.642,3595619.7581539
2020-10-14,522.025,524.775,519.554,524.227,4826918.2480003
2020-10-15,525.875,530.82,521.2,529.169,4219458.6456926
2020-10-16,534.392,534.392,520.927,522.025,5655303.8933323
2020-10-19,528.343,538.236,527.796,534.392,6888423.8056543
2020-10-20,532.465,540.71,528.621,539.887,4659127.7281802
2020-10-21,543.181,557.746,542.905,555.272,7578138.0359391
2020-10-22,550.325,553.896,547.853,550.052,5053305.179189
2020-10-23,554.446,556.373,551.15,554.446,4474234.7609589
2020-10-26,551.976,557.196,550.052,551.15,3503903.1952386
2020-10-27,548.951,550.878,540.985,542.905,5239657.9878008
2020-10-28,536.866,539.887,532.743,537.961,5906440.5429098
2020-10-29,530.27,542.633,528.896,539.334,6164494.5427798
2020-10-30,535.49,539.612,522.025,526.151,8752658.1576301
2020-11-02,523.949,539.334,523.674,533.566,8179775.1689972
2020-11-04,549.226,550.878,537.961,544.006,8647471.8544774
2020-11-05,539.887,552.526,532.19,541.26,7312443.5236063
2020-11-06,547.306,556.095,542.633,553.346,6858946.4990587
2020-11-09,559.391,570.932,559.119,563.788,6660583.7916001
2020-11-10,583.847,590.712,555.547,558.021,8224908.5986534
2020-11-11,576.7,579.721,566.263,576.152,7510444.6499798
2020-11-12,572.306,575.327,563.788,568.733,4249307.6711607
2020-11-13,562.691,565.71,556.373,559.666,4839658.0675424
2020-11-16,573.131,589.889,570.382,587.418,9396515.7960884
2020-11-17,596.76,598.956,583.847,586.317,5268412.1322261
2020-11-18,580.822,581.372,566.263,570.657,7194520.780174
2020-11-19,576.152,577.801,567.636,577.528,5940290.6151519
2020-11-20,573.406,583.571,572.581,582.471,3915183.0936485
2020-11-24,598.133,599.782,590.712,593.186,6324276.2105271
2020-11-25,615.717,630.827,614.069,626.433,13733174.023043
2020-11-26,622.035,634.399,617.913,627.53,7129007.0185131
2020-11-27,634.674,636.05,623.683,632.2,5988698.5501493
2020-11-30,640.169,641.545,624.234,625.332,7611626.5270961
2020-12-01,622.31,636.876,619.564,636.05,4303899.6564928
2020-12-02,643.463,656.105,641.818,650.885,7645108.2597281
2020-12-03,658.579,669.566,656.38,666.27,8153207.4073952
2020-12-04,660.224,665.171,655.282,665.171,5333560.9335394
2020-12-07,673.141,680.281,656.38,658.028,6682059.0046478
2020-12-08,659.401,668.193,651.16,659.401,4607448.6671041
2020-12-09,658.579,671.765,658.028,671.765,4646391.2879006
2020-12-10,669.566,670.392,656.105,657.756,5720091.1135605
2020-12-11,654.453,661.325,635.222,642.643,8927727.6088278
2020-12-14,636.598,649.511,633.025,644.839,5732469.3520174
2020-12-15,633.301,635.775,624.784,629.179,6775955.1918615
2020-12-16,642.915,648.41,634.399,636.598,4739932.6525541
2020-12-17,648.958,651.708,640.995,648.41,5322280.9553879
2020-12-18,648.958,651.985,643.463,645.94,4651487.2157174
2020-12-21,652.261,658.304,640.169,644.291,3607633.0362632
2020-12-22,632.2,635.5,614.341,619.014,6367223.25736
2020-12-23,618.739,625.61,599.234,609.399,6084787.8787112
2020-12-24,615.442,627.805,614.341,617.087,2836748.9212569
2020-12-25,643.19,666.545,641.27,657.203,10859293.765678
2020-12-28,657.756,659.949,642.915,645.94,5735375.5177485
2020-12-29,654.181,664.621,650.334,654.731,5889334.7162462
2020-12-30,649.786,663.524,648.41,659.949,4330835.757705
2021-01-04,662.15,664.346,644.291,659.676,3817640.682221
2021-01-05,661.6,668.747,655.007,665.444,6123003.9580749
2021-01-06,676.71,695.942,676.435,692.92,9374314.0416079
2021-01-07,704.186,713.803,703.363,708.581,7369951.8124569
2021-01-08,711.602,722.317,700.893,705.287,7510079.6896322
2021-01-12,719.299,720.947,706.385,709.406,5655672.2329424
2021-01-13,725.066,744.849,722.871,743.751,10196150.676258
2021-01-14,742.103,750.069,722.045,725.342,7209075.2636668
2021-01-15,737.433,747.323,710.229,711.058,8671491.652171
2021-01-18,696.492,703.638,691.547,701.987,4434927.1798148
2021-01-19,704.186,718.198,699.241,714.351,4434197.2591196
2021-01-20,714.076,720.947,693.746,698.416,6478961.9504575
2021-01-21,705.012,712.152,701.162,707.48,4118280.1478388
2021-01-22,709.681,725.62,705.287,723.418,6413448.1887966
2021-01-25,735.782,737.433,706.657,710.229,5770685.4313811
2021-01-26,706.113,709.681,675.336,678.361,8247471.934219
2021-01-27,686.877,690.446,658.851,665.719,8018901.9994696
2021-01-28,654.453,678.086,653.359,663.799,9310618.3231601
2021-01-29,673.141,677.26,654.731,661.05,7327001.3863615
2021-02-01,663.799,683.581,663.799,682.48,5798344.6947636
2021-02-02,695.122,697.318,685.226,689.627,6379601.4958169
2021-02-03,694.296,729.188,693.746,728.088,17411778.329869
2021-02-04,741.828,777.545,741.552,759.412,16681296.67705
2021-02-05,766.004,777.27,751.442,765.454,11416888.97086
2021-02-08,779.194,810.517,778.918,810.517,13180306.406067
2021-02-09,804.468,807.768,791.558,797.053,7178141.4949432
2021-02-10,798.425,820.682,797.325,806.122,6758849.3651979
2021-02-12,796.502,796.502,762.16,768.203,11071487.794459
2021-02-15,781.94,786.888,765.179,770.127,5899894.9114899
2021-02-16,774.524,788.26,770.674,776.995,7571953.9856043
2021-02-17,775.622,797.325,772.325,795.404,6933553.856048
2021-02-18,805.022,805.844,778.646,780.019,6652574.9395273
2021-02-19,770.127,801.447,767.38,799.799,7273500.9028099
2021-02-22,813.535,842.11,813.264,839.36,11791409.252034
2021-02-24,847.605,866.837,837.991,843.486,10711890.336387
2021-02-25,865.464,866.837,837.991,858.596,6185969.7558275
2021-02-26,844.856,853.1,831.122,839.36,7877321.0394288
2021-03-01,833.869,848.981,813.535,848.981,6977960.7442714
2021-03-02,857.222,857.222,823.153,825.627,5797253.1929832
2021-03-03,827.003,848.981,824.254,846.232,4423643.8224008
2021-03-04,858.596,877.827,848.981,869.586,9975951.1746661
2021-03-05,865.464,876.455,846.232,869.586,7871498.5701792
